wurde	-35028.942280032876
zu	-31596.07449461259
auf	-26618.588522959937
das	-24275.1638238897
ein	-20934.315340737576
sich	-20144.19010082909
bei	-19277.37063662835
auch	-16696.485401102735
diese	-15744.805028649293
nach	-15039.287751334463
dem	-14113.24463960681
Ã¼ber	-13242.239990155223
becam	-10958.971513619024
durch	-10775.14528939359
ende	-9370.82842729245
vor	-9009.40505112226
jahr	-8449.186538197127
bau	-7838.512627669796
oder	-7222.313445946533
alt	-6586.194946750084
doch	-6495.087135179161
wie	-6380.94014527665
sind	-6359.433489329504
serie	-5973.174262060497
januar	-5152.936218924218
gib	-5149.942186725753
ausge	-5080.963971369905
kann	-5026.168946320995
waren	-4920.758800908418
rei	-4902.40262628167
aber	-4707.850743281425
zeit	-4659.104522075206
schw	-4612.68928436906
Ã¤r	-4539.164347756502
kon	-4520.306001152999
pf	-4518.71008220552
nun	-4460.5647855435445
sometime	-4427.1793362168755
noch	-4409.046079410884
qua	-4330.3154308209705
qui	-4267.416622960248
Ã¤n	-4260.524319547432
gra	-4235.197963584401
hm	-4191.778186230554
gli	-3990.789120113107
whil	-3924.566422961432
etwa	-3889.713904702666
vom	-3830.4229972958487
mai	-3742.4587333845693
severa	-3710.936561970945
ihn	-3690.2345682812042
publishe	-3589.3681891774945
abge	-3470.89604037162
teil	-3427.5995459732017
pla	-3387.857304382322
lieg	-3374.829908888346
halb	-3361.0495013625346
tz	-3335.4940792764864
frei	-3325.9688646762243
gel	-3297.654650158174
mehr	-3242.050938026775
hou	-3198.37328584814
geb	-3186.549703796306
lei	-3180.3020130353525
wohl	-3133.241072497164
beste	-3068.4017985429914
childre	-3056.077739783835
gie	-3047.665773441524
schl	-2992.944799006588
Ã¶r	-2973.606164092549
gegen	-2956.515534971188
hin	-2952.377190408239
namen	-2864.893997344503
welche	-2840.5864887563966
xi	-2838.249256325451
buil	-2820.2628131300626
dann	-2778.8757988892917
toget	-2726.4524715874486
alle	-2698.3029189597873
rie	-2697.6499483687803
tig	-2651.0829500710997
countr	-2580.3290759197102
buch	-2578.450662747104
ect	-2571.017842628348
para	-2561.7398975487345
ihr	-2552.038445719371
mei	-2526.5284802196325
mÃ¼	-2501.4613798337614
bereich	-2457.322470059689
lich	-2446.838775521752
hatte	-2428.1621839522086
begann	-2422.181163704101
februar	-2413.314296842609
wei	-2396.3105950897166
trat	-2368.13998249994
thi	-2364.139409730096
andere	-2361.534978825811
vier	-2304.457707042322
sonder	-2276.3275420063637
kl	-2269.9264868018745
Ã¼r	-2262.1930749477615
acht	-2260.271696440972
stark	-2258.9524886414483
erst	-2256.453507231067
isch	-2256.08310792683
japane	-2251.5998663447044
ziel	-2219.9795448964587
neue	-2212.7823099725556
kra	-2189.945730468837
voll	-2166.9882343371755
kinder	-2159.934241133524
denen	-2159.624782769809
wenn	-2147.753809387389
scheid	-2145.9192160912894
wald	-2125.4104829169773
ieren	-2122.648032081632
alway	-2119.919750818991
damit	-2106.154122333598
unter	-2105.1518421408805
rund	-2076.8695613160435
wir	-2072.6735855643524
kor	-2071.7580218432404
ungen	-2068.5333508743706
mitte	-2036.643626705507
gue	-2014.2318513984774
grÃ¼n	-2006.6475358484965
rolle	-2000.8470632235696
cra	-1967.0260522977999
sieg	-1961.9807818148083
chu	-1944.7203067154055
beginn	-1942.8693357029426
sei	-1935.476788737668
prÃ¤	-1917.1043626144856
179	-1912.1619979346679
ober	-1889.7974216897521
amt	-1873.5527334713406
programm	-1862.0416707694478
ige	-1855.512652362584
Ã¤t	-1839.9804771481208
